from,max
\x3917d029982693c718275ba5d9b77d749554c503,9432092
\x6743b3a386146a6aa23a4221a7525b27df9b5ded,8209671
\x9293ec32b78e99a62b0d9eb66bf50e4dfc77d5aa,7786933
\xc6c06c24608901394ef58df565ce10a78e7e549f,6583417
\xdc8136344fb328042137e6fea2c8709d9143a028,5197974
\x5caf2e6e8c6aa062646468a573bae5bf6a093bca,5084303
\x5e9ee17f885d4f330fcb5d795bd0d327b879a825,9155931
\xc60b47e3463acefdf4e17609f21f05ece5b75f3b,5683383
\x3cc05502bfcb0984556c877d374b9ec708a1724b,8077069
\x75fd8532b8fd162847eac4d813810c8fb640279b,5670371
\x01af8e39a6978fe81aa4dec7c52e78d0b30a6311,5810451
\x1e0451790e594c14b10cb6ccb9a33f1c479ce632,5195927
\x697169b1e871e7f3c0b2801110e072eabe32e3a8,7741912
\xadc417dcce9f3873bf398e3d5aabaafd339aaba1,5196981
\xba47a8098636cb62c22948a74a8622ebb6313db7,7778261
\xf664dfca198adc12093e25def80ebd893bd2d0d0,6869497
\xda61083cabf75f131fd8c6b5df2ba7b9c9a4c114,5362378
\xf87b014660b3cf648dadf70ace2178b9f1a80b79,5362063
\xa8df9c437f9631a694f722d3a38dae80599ebea7,6077360
\x4308a965d8ab88d575c4c33b19d5f1c16ecd7a34,5196221
\x6da02501ea33b48d296a5b025ddb1a60605ca215,5201697
\x0fac4f75e17a839fd827389d597fe4ecdd5e896b,8339743
\x8f2903f2210d7180e0b80a55b8733435515c8f48,5835384
\x3bd8b0af94cb9c407bfe46effae082598ca470aa,6320762
\x46c7736d82470bfe6526d3770351f296f03a5de3,8240721
\x498dc72d94d230a2f6a9fe53a4837b3e50352458,7741954
\x491fba0822e874cc322921e67cb7e64259480431,5850422
\x6499a1e10693ed7daba1ebb4b8402a1ee29a7dee,7741909
\xe366f2d6a219561d88f27c3d50a842ff5bd5aef6,8039970
\xa96496b3cd6a6db0eff99bf6aa13a1db70144069,7034781
\xffea8b15258bd9430b0c97043d517fe422247a4a,5357429
\x4345bfbb62a3636e6f498166b18437f15015eea9,13176686
\x7f893d78d2e7d4667c3c068b4129525a29047f8e,15618970
\xb4d2d02f672e129fbc14c93a2109b7e08276f85f,8028735
\x70928cf142dd54443812c3e5593df84d0fae2598,7741980
\x47713ebb4be843df607b4abebfa7ed676319430c,7333022
\xfb17695c25ce2fafedcb158d0649fbde1f2f8137,9522181
\x82e32fbb246df7d7bd967b45a36943abf4fe1d70,8222005
\x1ee24dcfb543a2649b7f0e4e6ac9d92d73bd0fd7,7332144
\x4770bf745162a1cb78f7dfff5ebdb1b45de3499c,12456661
\xb60b4b10bfa26e967540efaac31c3c04a3d14f68,14465677
\x242868db6074fa6428bc25187c3d6fa29eb3a17c,7741984
\xa319fb522330d8fa3f82d8e6e5a3365e9241d618,5209103
\xf95326cc928a241102085bb02d1e886e8e8ffb5b,11225122
\x441e2eb9d43ebdd7cb65771227b5c088a7dcbb5c,6197701
\x0610f995368da2bfcee1300b012410ab5667e49f,6665954
\xff80ea0919affce235534297e5cd0e81d54914eb,11225122
\xdd492ca279bdfb579b2df74299c222a72d3a73d6,5981551
\xcdc9ad6cc5532e58fe82dc7b6ac53260275559c7,8339727
\x15f218699f5f0634ae789024d75121e9fe7f75cf,7425947
\x849bf4a232b6e808ceb3d147ed225b1eefbc2b6b,7724548
\x9cc3c63a94f58d632524440aa042f87720ed4b45,5196118
\x6853ad886ee3dcdaba75807d40e3dc682878e829,6016510
\xe6b80ff16961425976ac7154fd0c7ade16a81fb2,8031487
\x1cf583d83c0fe45954cf09adf3d31cb21df6cf43,5201869
\x7e8c920fe8b205804eea9c70fda764256d05aa20,5197686
\x479577d4de4a8d8dc69eba4d2d44c52d916c36a8,11225122
\xc477a6881863ba0518ec598906c6ca28e3ba9895,8290385
\xfdc4b59e0f87d8cd56028542735d50949a525e94,8832711
\x87a1de5d0f3f750c5ad726706096817c20df4f26,5893428
\xa7f064912a909d1b68df7c361ad4ce663a76fd21,10233884
\xc9be222a362f5554b1d33f81a7273a9e79bf4819,8652910
\xa3194ca06ddbf18cb4cff9a507e6bc4782161602,5214288
\xb55c2c0b150ec996b154eb06754e12b862d0dbc1,9054055
\xf9a47853dcf5989d829f31173c5f434ea89b3456,6116602
\x502aed3089037f6421ee7de3dbf5c3ded25df83f,6089322
\xf5f901a036de1827f7e6b7d9c8f4ec4a9d20c487,8339670
\x084ed2a3fcd1f4d08237ab3ef6f5e79a74c0ac12,7786951
\xf48f3fb224e7e584648f9af1ae167ff99e22aeb1,7741933
\x199f33acf3bd2ede55d5473bed66f14712f200a8,7789484
\x06ec24b3c82f652c1942213e97eaaed3c63bf6d0,8413545
\x2d0afa35b1542ab39321d599cf5122af0bf3fde4,7741909
\x05475a982140d70026662270d51e1dadf85d87b1,7792998
\x9f4689b3181db34e013b42a98aa28a24866f57da,7241615
\xed66cfd31e2aab2761e92e4f69ee1bdf7b6a3962,6969181
